region,municipality,students,year,metadata,city
კახეთი,გურჯაანი,7950,2009,,მუნიციპალიტეტები
კახეთი,დედოფლისწყარო,3662,2009,,პატარა ქალაქები
კახეთი,თელავი,9988,2009,,10 ქალაქები
კახეთი,ლაგოდეხი,7611,2009,,მუნიციპალიტეტები
კახეთი,საგარეჯო,7652,2009,,მუნიციპალიტეტები
კახეთი,სიღნაღი,4944,2009,,მუნიციპალიტეტები
კახეთი,ყვარლი,4969,2009,,მუნიციპალიტეტები
მცხეთა–მთიანეთი,ახალგორი,,2009,,პატარა ქალაქები
მცხეთა–მთიანეთი,დუშეთი,4057,2009,,მაღალმთიანი
მცხეთა–მთიანეთი,თიანეთი,1457,2009,,პატარა ქალაქები
მცხეთა–მთიანეთი,მცხეთა,9283,2009,,მუნიციპალიტეტები
მცხეთა–მთიანეთი,ყაზბეგი,625,2009,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ამბროლაური,1389,2009,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ლენტეხი,955,2009,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ონი,782,2009,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ცაგერი,1503,2009,,მაღალმთიანი
სამეგრელო–ზემო სვანეთი,ფოთი,6725,2009,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,აბაშა,3652,2009,,პატარა ქალაქები
სამეგრელო–ზემო სვანეთი,ზუგდიდი,16623,2009,,დიდი ქალაქები
სამეგრელო–ზემო სვანეთი,მარტვილი,5488,2009,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,მესტია,1958,2009,,მაღალმთიანი
სამეგრელო–ზემო სვანეთი,სენაკი,6354,2009,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,ჩხოროწყუ,3297,2009,,პატარა ქალაქები
სამეგრელო–ზემო სვანეთი,წალენჯიხა,4371,2009,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,ხობი,4670,2009,,მუნიციპალიტეტები
სამცხე–ჯავახეთი,ადიგენი,3032,2009,,პატარა ქალაქები
სამცხე–ჯავახეთი,ასპინძა,1992,2009,,პატარა ქალაქები
სამცხე–ჯავახეთი,ახალქალაქი,8637,2009,,მაღალმთიანი
სამცხე–ჯავახეთი,ახალციხე,7256,2009,,მუნიციპალიტეტები
